Tv. 1,Phúc Thay Cho Người,1
Tv. 2,Quân Vương Khắp Gian Trần,2
Tv. 3,Chúa Đã Nhậm Lời Con,3
Tv. 4,Khi Con Kêu Cầu Chúa,4
Tv. 5,Con Van Xin Ngài,5
Tv. 6,Đừng Phạt Chúng Con,6
Tv. 7,Xin Chỗi Dậy Cứu Con,7
Tv. 8,Lẫy Lừng Thay Danh Chúa,8
Tv. 9A,Con Tạ Ơn Chúa,9
Tv. 9B,Sao Đành Tâm Xa Cách,10
Tv. 10,Còn Có Chúa,11
Tv. 11,Lời Chúa Lời Chân Thành,12
Tv. 12,Cho Đến Bao Giờ,13
Tv. 13,Chúa Đổi Vận Mạng Dân Ngài,14
Tv. 14,Ai Được Vào Nhà Chúa,15
Tv. 15,Chúa Là Phần Gia Nghiệp,16
Tv. 16,Xin Giữ Gìn Con,17
Tv. 17,Con Yêu Chúa Hết Lòng,18
Tv. 18A,Tầng Trời Xưng Tụng,20
Tv. 18B,Luật Pháp Chúa,21
Tv. 19,Chúa Ban Chiến Thắng,22
Tv. 20,Xin Chúa Biểu Dương,23
Tv. 21,Sao Chúa Nỡ Bỏ Con,24
Tv. 22,Chúa Là Mục Tử,26
Tv. 23,Vua Vinh Hiển,27
Tv. 24,Con Nâng Hồn Lên Tới Chúa,28
Tv. 26,Chúa Là Ánh Sáng,29
Tv. 25,Xin Dò Xét Con,30
Tv. 27,Xin Nghe Tiếng Con Van Nài,31
Tv. 28,Tiếng Chúa Vang Rền,32
Tv. 29,Xin Nhậm Lời Và Xót Thương,33
Tv. 30,Con Xin Phó Thác Hồn Con,34
Tv. 32,Hãy Reo Hò Mừng Chúa,35
Tv. 33,Nào Đồng Thanh Ca Tụng,37
Tv. 34,Ta Cứu Độ Con,39
Tv. 31,Phúc Cho Ai Được Thứ Tha,41
Tv. 35,Chúa Là Nguồn Sống,42
Tv. 36,Hãy Vui Mừng Trong Chúa,43
Tv. 37,Xin Đừng Bỏ Mặc Con,45
Tv. 38,Xin Dạy Cho Con Biết,47
Tv. 39,Chúa Cao Trọng Lắm Thay,48
Tv. 40,Xin Thương Chữa Lành Con,49
Tv. 41,Như Nai Rừng Mong Mỏi,50
Tv. 42,Dẫn Con Tới Núi Thánh,51
Tv. 43,Chính Chúa Là Vua,52
Tv. 44,Mừng Chúc Thánh Quân,53
Tv. 44, 11-18,Muôn Dân Ca Ngợi,54
Tv. 45,Chúa Là Nơi Ẩn Náu,55
Tv. 46,Vỗ Tay Tung Hô Chúa,56
Tv. 47,Chúa Cao Cả Muôn Trùng,57
Tv. 48,Kiếp Phù Du,58
Tv. 49,Ai Dâng Lễ Cảm Tạ,59
Tv. 50,Xin Chúa Thương Con,60
Tv. 51,Con Sẽ Tạ Ơn Suốt Đời,62
Tv. 52,Ai Mang Lại Ơn Cứu Độ,63
Tv. 53,Xin Lấy Uy Danh,64
Tv. 54,Xin Chớ Ngoảnh Mặt Đi,65
Tv. 55,Tôi Tin Cậy Chúa,67
Tv. 56,Xin Thương Con,68
